date,co(gt),pt08.s1(co),nmhc(gt),c6h6(gt),pt08.s2(nmhc),nox(gt),pt08.s3(nox),no2(gt),pt08.s4(no2),pt08.s5(o3),t,rh,ah,unnamed:_15,unnamed:_16,time_01.00.00,time_02.00.00,time_03.00.00,time_04.00.00,time_05.00.00,time_06.00.00,time_07.00.00,time_08.00.00,time_09.00.00,time_10.00.00,time_11.00.00,time_12.00.00,time_13.00.00,time_14.00.00,time_15.00.00,time_16.00.00,time_17.00.00,time_18.00.00,time_19.00.00,time_20.00.00,time_21.00.00,time_22.00.00,time_23.00.00
-0.7202537,0.6319818,1.1842996,2.2112355,-1.0982031,0.45942116,0.03344599,0.9427139,0.39097208,0.7129145,0.65366733,-0.9376551,2048-01-01,-0.21093516,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-0.7202537,0.25480703,0.90279067,1.9393829,1.4091753,0.15995751,-0.24003562,1.383158,0.13171248,0.36872464,-0.009573106,-0.9623755,2047-01-01,-0.21093516,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.7202537,0.41645336,1.3581728,1.7676865,1.3815458,0.10730457,-0.11848824,1.2562504,0.40331778,0.35837308,0.21897598,-1.0777375,2054-01-01,-0.19677912,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-0.7202537,0.41645336,1.250537,1.7104545,1.3953605,0.13692185,0.059491858,1.0770867,0.5020833,0.433422,0.5080233,-1.1518987,2060-01-01,-0.19677912,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.7202537,-0.17624983,0.819994,1.502988,1.2019539,-0.23164876,-0.11848824,1.4988679,0.42800915,0.19015999,0.29964036,-1.1354184,2059-01-01,-0.19677912,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.7202537,-0.39177826,0.50950617,1.4099858,0.8773072,-0.51465833,-0.30080932,1.991568,0.18109526,-0.0608657,-0.061108682,-1.1354184,2059-01-01,-0.19677912,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.6050868,-0.39177826,0.4598281,1.3599076,0.25564313,-0.7121069,-0.41801572,2.39282,-0.053472944,-0.21613932,-0.54509497,-1.1271783,2056-01-01,-0.21093516,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.5534246,0.25697607,1.3599076,0.234921,-0.77134144,-0.41801572,2.39282,-0.06581864,-0.21613932,-0.551817,-1.1766192,2060-01-01,-0.21093516,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.6073067,0.08310291,1.3098295,-0.51798326,-0.97866243,-0.49181235,2.39282,-0.26334974,-0.36364925,-0.7982915,-1.1766192,2059-01-01,-0.21093516,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.768953,-0.26464343,1.2740594,-1.2501653,-1.1366212,-1.555352,2.39282,-1.831253,-0.4697529,-1.0649321,-1.2095797,2060-01-01,-0.21093516,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-1.1461278,-0.2605036,1.2382894,-1.2777948,-1.2485088,-0.59599584,2.39282,-0.58433783,-0.5680929,-1.19041,-1.2260599,2060-01-01,-0.21093516,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.7150709,-0.032812536,1.1953652,-1.2916096,-1.2978709,-0.6177007,2.39282,-0.658412,-0.60691124,-1.2419456,-1.1518987,2056-01-01,-0.18262307,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.7150709,-0.09077026,1.2525973,-1.2570727,-1.1629478,-0.5395631,2.39282,-0.4114981,-0.5059834,-1.1299118,-1.1930994,2058-01-01,-0.21093516,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.44566038,0.29009476,1.3455995,0.2280136,-0.7877955,-0.2617405,2.39282,0.008255532,-0.20061196,-0.551817,-1.2178198,2059-01-01,-0.18262307,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,0.25480703,1.0725241,1.5959902,1.312472,-0.02103698,0.06817381,1.24132,0.37862638,0.2600331,0.28171495,-1.168379,2057-01-01,-0.21093516,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,0.41645336,1.1470411,1.7605325,1.4160826,0.17641157,-0.12717019,1.0285631,0.24282373,0.43083408,0.11590482,-1.1930994,2060-01-01,-0.21093516,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.122367725,0.6585403,1.6889924,1.1881392,-0.26126605,-0.20096682,1.5473913,0.20578665,0.076292664,-0.26052895,-1.168379,2058-01-01,-0.21093516,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.23013194,0.43498906,1.4457558,1.0707138,-0.47516865,-0.27476344,1.9579747,0.13171248,-0.14109041,-0.68401694,-1.1930994,2057-01-01,-0.18262307,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.17624983,0.67095983,1.5745281,1.0845286,-0.43567893,-0.23569465,1.8571951,0.16874957,-0.04016255,-0.6997017,2.0782359,2066-01-01,-0.21093516,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-0.6050868,-0.014603509,0.8779517,1.5888361,1.2641203,-0.12305206,-0.05337357,1.338367,0.37862638,0.311791,-0.39721027,1.9793541,1976-01-01,-0.18262307,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
